frame,inliers,dx_px,dy_px,rot_deg,dt_ms
1,1794,3.851,0.403,0.546,63.14
2,1729,5.719,1.937,0.670,45.08
3,1776,4.269,0.689,0.492,57.29
4,1738,2.789,0.721,0.511,46.67
5,1733,4.721,1.058,0.321,52.29
6,1500,8.145,1.766,0.219,44.80
7,1670,0.478,1.958,0.410,45.16
8,1553,4.784,0.048,1.079,34.04
9,1620,0.898,0.746,0.708,37.35
10,1563,5.557,0.250,0.644,37.40
11,1412,-2.548,1.238,0.489,40.28
12,1567,-1.701,1.495,0.359,79.67
13,1497,-2.184,2.012,0.219,48.96
14,1426,-4.730,1.451,0.347,41.82
15,905,-12.410,0.028,0.438,38.60
16,866,-10.727,4.342,0.232,43.02
17,1338,-2.565,5.338,-0.362,34.08
18,1427,2.414,5.740,-0.037,38.72
19,1185,12.290,1.946,0.481,39.11
20,1242,-4.983,2.060,0.408,36.79
21,1035,17.890,-0.553,1.432,38.45
22,1119,14.452,-0.268,1.221,39.33
23,1070,9.666,-1.663,1.447,37.05
24,979,11.762,-1.532,1.119,35.19
25,923,12.978,-1.963,1.229,40.37
26,895,-5.343,-0.123,0.867,33.40
27,641,-10.870,7.462,-0.259,38.48
28,803,19.457,-0.769,0.515,32.20
29,1238,5.239,-0.329,0.611,31.02
30,1097,12.106,-3.141,0.714,37.68
31,1163,0.236,6.824,-0.489,31.91
32,1095,7.375,6.204,-0.688,32.75
33,427,35.203,2.265,-0.046,49.43
34,621,13.717,-1.519,0.757,25.65
35,962,6.854,-0.810,0.705,29.00
36,945,-1.883,3.220,0.210,34.14
37,945,10.879,1.396,0.333,23.54
38,908,12.254,0.298,0.321,29.86
39,794,13.234,-3.535,1.240,47.57
40,891,1.530,-1.775,0.717,42.92
41,709,-3.607,1.477,0.026,43.25
42,928,2.309,1.735,-0.037,40.65
43,834,6.554,4.429,-0.419,47.12
44,848,10.890,-0.315,0.079,38.88
45,901,10.260,-3.642,1.005,46.30
46,846,12.276,-6.830,1.099,33.19
47,897,14.238,-8.194,0.921,47.57
48,894,7.562,-3.828,0.367,36.91
49,875,1.910,-2.574,-0.099,21.42
50,891,-5.005,2.424,-0.899,23.93
51,796,1.314,0.270,-0.696,34.66
52,567,13.843,-2.091,0.223,22.39
53,888,1.484,-3.789,0.443,26.00
54,789,-8.163,-1.466,0.168,25.42
55,863,-11.500,2.184,-0.209,31.83
56,888,-3.408,0.732,0.025,29.05
57,888,-0.347,0.284,0.210,26.27
58,834,-11.478,1.008,0.257,66.25
59,838,-9.457,0.101,0.350,63.75
60,875,-12.849,2.258,-0.031,57.11
61,887,-8.877,2.047,0.018,50.42
62,887,-2.508,0.189,0.357,47.67
63,888,-6.117,0.816,0.236,24.88
64,885,3.090,1.352,0.531,20.46
65,883,-0.377,1.234,0.423,26.72
66,721,-4.198,0.355,0.476,31.41
67,838,0.988,0.632,0.588,27.87
68,851,-4.684,2.095,0.047,26.10
69,843,0.169,5.021,-0.080,30.52
70,662,2.612,2.042,0.792,33.19
71,679,-10.581,1.095,0.447,33.49
72,774,10.598,1.837,0.511,30.02
73,770,4.289,1.290,0.241,22.54
74,742,-0.793,3.311,0.162,25.81
75,746,1.603,0.864,0.653,28.03
76,687,-0.746,-0.215,1.025,25.63
77,677,9.190,1.024,1.297,21.84
78,659,0.639,2.525,0.519,31.18
79,641,4.767,2.299,0.361,25.06
80,625,-1.817,7.406,-0.729,18.58
81,610,-3.740,9.851,-1.286,21.19
82,589,-2.092,8.612,-0.909,22.31
83,556,4.648,8.187,0.053,23.15
84,539,5.315,-0.135,1.031,24.76
85,496,5.109,-0.381,1.391,17.15
86,446,-2.822,0.906,0.908,20.67
87,431,-4.924,3.400,0.072,20.98
88,411,-5.833,6.844,-0.525,21.73
89,348,5.930,10.271,-0.565,20.74
90,347,2.750,2.223,0.139,25.04
91,284,-2.400,4.391,0.471,20.47
92,279,0.612,1.498,0.513,21.23
93,256,-0.600,4.195,-0.010,17.74
94,238,1.602,5.127,-0.090,17.62
95,191,1.394,5.931,0.249,13.45
96,161,11.399,1.558,0.717,16.69
97,144,7.282,-0.083,0.838,17.69
98,142,7.595,-1.524,1.043,16.83
99,129,-1.302,0.339,0.687,13.22
100,121,-5.508,3.658,0.163,14.85
101,119,0.015,5.751,0.212,17.98
102,105,4.208,4.029,0.277,15.46
103,91,6.849,0.647,0.806,12.09
104,92,4.129,-0.999,1.067,19.09
105,85,6.727,-0.581,1.243,17.14
